CODIGO CAPITULO,CAPITULO,CODIGO SUBCAPITULO,SUBCAPITULO,CODIGO ITEM,ITEM,UNIDAD,Vr MANO DE OBRA,TOTAL
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.01,ABERTURA VANO PUERTA-VENTANA,M2,7229.86,7482.91
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.02,ACARREO MATERIALES PETREOS-TIERRA-VARIOS (DISTANCIA DE 1 A 5 KM),M3,0.00,1722.5
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.03,CERRAMIENTO ALAMBRE DE PUAS No. 12  5 HILOS POSTES DE MADERA. DISTANCIA ENTRE POSTES 2 M,ML,10844.80,32774.69
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.04,CERRAMIENTO EN TABLA BURRA H=3.00  mts.,ML,9822.09,53090.74
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.05,CONFIGURACIÓN-NIVELACIÓN TERRENO,M2,180.75,1115.35
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.06,CONFORMACIÓN COMPACTACIÓN SUBRASANTE CBR=95%,M2,3410.39,6405.63
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.07,CORTE ARBOL (INCL.RAICES) H>3.0,UND,12277.60,90816.22
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.08,CORTE DE ARBUSTO,UND,4970.53,5219.06
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.09,CORTE RAIZ D = 30 cm - 80 cm,ML,16267.19,17080.55
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.10,DEMOLICIÓN  CONCRETO CICLOPEO (INCLUYE RETIRO),M3,25304.52,172783.75
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.11,DEMOLICIÓN  SARDINEL  (INCLUYE RETIRO),ML,4518.66,4676.81
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.12,DEMOLICIÓN ALFAJIA CONCRETO  (INCLUYE RETIRO),ML,3163.07,3321.22
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.13,DEMOLICIÓN ANDEN/CONTRAPISO CONCRETO E > A 12CM,M2,3437.73,16281.5
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.14,DEMOLICIÓN ANDEN/CONTRAPISO CONCRETO E= 7.6CM A 12CM,M2,2209.97,11093.31
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.15,DEMOLICIÓN CAJA INSPECCION,UND,11748.53,12335.96
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.16,DEMOLICIÓN CIELO FALSO ESTERILLA-ADOBE,M2,10558.74,14380.28
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.17,DEMOLICIÓN CIELO FALSO ESTRUCTURA ALUMINIO (INCLUYE RETIRO),M2,1355.60,2679.63
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.18,DEMOLICIÓN CIMIENTO CONCRETO (INCLUYE RETIRO),M3,41743.87,190045.06
